OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1745,21109,51841,SEPULVEDA  BL  AT  ROSCOE  BL,SEPULVEDA  BL  AT  ROSCOE  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=51841
1746,21118,48599,DENSMORE  AV AT HAYNES ST,DENSMORE  AV AT HAYNES ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=48599
1747,21121,51109,RUFFNER AV AT HORACE ST,RUFFNER AV AT HORACE ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=51109
1748,21131,48760,SEPULVEDA  BL  AT  OTSEGO  ST,SEPULVEDA  BL  AT  OTSEGO  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=48760
1749,21136,48821,KITTRIDGE  ST  AT  VALJEAN  AV,KITTRIDGE  ST  AT  VALJEAN  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=48821
1750,21920,80017,WAVERLY DR AT AVENEL ST,WAVERLY DR AT AVENEL ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=80017
1751,21938,39948,TYRONE  AV  AT  OXNARD  ST,TYRONE  AV  AT  OXNARD  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=39948
1752,21940,6181,EUBANK  AV  S/O  ANAHEIM  ST,EUBANK  AV  S/O  ANAHEIM  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=6181
1753,21943,6271,ALAMEDA  ST  AT  ANAHEIM  ST,ALAMEDA  ST  AT  ANAHEIM  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=6271
1754,21944,5936,ALAMEDA  ST  AT  EUBANK  AV,ALAMEDA  ST  AT  EUBANK  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=5936
1755,21945,75417,ALVARADO ST W/O GLENDALE BL,ALVARADO ST W/O GLENDALE BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=75417
1756,22774,12973,PICO  BL  AT  CRENSHAW  BL,PICO  BL  AT  CRENSHAW  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12973
1757,22777,14074,TREMAINE  AV   AT   12TH  ST,TREMAINE  AV   AT   12TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=14074
1758,22781,15867,SHERIDAN  ST  AT  ST  LOUIS  ST,SHERIDAN  ST  AT  ST  LOUIS  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15867
1759,22782,11293,CRESTA  DR  W/O  ROBERTSON BL,CRESTA  DR  W/O  ROBERTSON BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11293
1760,22792,15931,MOTT  ST   AT   WINTER  ST,MOTT  ST   AT   WINTER  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15931
1761,22794,11431,ADAMS  BL  AT  WEST VIEW  ST,ADAMS  BL  AT  WEST VIEW  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11431
