OBJECTID,healthind,boeint_fkey,calenvscreen,GlobalID
112,49.916846,96113,38.8733689964,28b94fb6-8efa-4f8f-8137-694d7ee43a22
113,50.714887,96114,32.2130705003,b71c7c71-c829-4469-883c-94dc14b47cb0
114,51.604676,96115,38.0330682876,c172ab84-822e-40f8-b925-e253581db30b
115,57.744017,96116,47.7809418848,d380ee04-230a-449d-9bc6-8f4cdf846bd4
116,52.344516,96117,40.2234476386,a3baf71f-5994-44a2-9f54-f02b9ee62fe6
117,57.744017,96118,47.7809418848,50bdf844-6db0-4ef6-b970-9a6f6803fb60
118,59.39154,96119,56.0533566857,562c0294-f0e4-4239-87a5-e996b530d1b3
119,54.041893,96120,55.0917813379,c58f090b-4f08-4c31-a177-66cd1a093b23
120,55.323832,96121,50.1713336639,1a487a7f-b2de-4541-8fb3-6e734201a14d
121,59.39154,96122,56.0533566857,7ac4a47c-4e47-46b0-8085-caca30bdba70
122,55.323832,96123,39.3331799109,dc532fe0-179a-4575-9a35-596b7d432c0f
123,60.677029,96125,50.8244810277,e4238b8a-8b59-4976-8d15-7be18084e0fd
124,60.677029,96126,50.8244810277,fb22cd2e-bd42-4795-82a3-df5892564424
125,60.677029,96127,50.8244810277,dff1eb1e-79bb-4950-b9cf-5de7f59dc4b2
126,60.09924,96128,54.867704737,78f02438-ab60-44e5-8aa1-a6a1de526746
127,57.744017,96129,47.7809418848,5869b836-44d9-4617-a235-c297b5e20030
128,49.661567,96130,33.0356646408,a146d96e-22c1-48fd-8093-e210b15e20c7
129,70.901113,96131,48.4868926076,b3412b9a-fb27-435c-bdf0-370261a37fe7
130,64.04037,96132,53.8348275897,963f818b-affd-4c36-a98b-411b76880a2c
131,64.04037,96133,53.8348275897,997a084a-c6dd-4687-a956-c7e82d4112bc
132,64.04037,96134,53.8348275897,0f72d3ea-327a-4c7a-9f53-051554e2c5f2
133,61.554781,96136,51.8914296955,d3bb76dc-6f78-4480-8408-0c70f27889ab
134,59.427837,96137,48.9210444047,9ea121b1-62b9-49be-ba88-78d43169f2e2
135,61.001066,96138,45.4709356392,fd1ba6cf-b113-41d1-a0c2-5312252ad38a
136,63.789406,96139,47.5890300496,5bf854e9-6a85-48ec-8b94-df025602a76e
137,60.572291,96140,45.4709356392,eb4273cb-ec30-4adf-ae06-60d48078164c
138,59.842826,96141,45.4709356392,76df31a1-07cb-4113-bcf2-a60e7412615e
139,63.200989,96142,47.7075849969,ea962cec-52a7-42cb-b27c-9a83a459fe0d
140,65.595853,96143,55.6878190594,d669fe95-939d-4c95-b37c-50f49e5fff6b
141,57.439503,96144,53.391353697,c8951004-ec05-4200-a929-04875e67d7c6
142,70.901113,96145,42.6866361052,6378aed4-752d-4bba-84e0-b9fdd21ebf02
143,62.234581,96146,42.6866361052,2c2ef7c4-3722-4f43-bf9f-86fe14af074a
144,51.772602,96147,51.0256643634,3a493a52-6a54-4d92-a4b0-dac1373f484d
145,51.772602,96148,51.0256643634,e36a7df3-e4a8-4155-909d-3f9f2303f303
146,51.772602,96149,51.0256643634,8137f579-05a8-4e41-a63e-b2ba2ea2e3cb
147,51.257971,96151,30.6115564899,974a20fa-296b-4648-bb96-c9715e1c76fb
148,45.045194,96152,20.2428926597,cc8c5c85-f173-4e4c-babf-e706d62827c2
149,55.327729,96154,40.1017779896,7eeab881-39ee-418c-97c9-f23b80ea8884
150,54.157782,96156,37.3637088404,a8c3c0b8-6cac-41dc-b96b-0350ca182d0b
151,54.955816,96157,50.6082594138,bc69595a-e65f-4e2c-802c-620ac406bfe6
152,53.895496,96212,48.8695279467,fb91d9d6-bda5-472f-8280-c7e483a3cd24
153,49.33626,96241,35.2815957668,d0c971a5-2f91-4471-9b76-49fc477e8e84
154,57.044639,96304,45.7872388937,73ed2e2b-95f6-4a30-a1ef-3f3ca53bd9b7
155,56.250751,96305,47.7328019232,e52b7d63-88da-4872-b4f9-7815e13b5205
156,46.912872,96158,25.5068019401,03b1574f-bbdc-429e-8e96-fb9468fc378f
157,46.912872,96160,25.5068019401,ea7154d8-db3c-473e-bc11-d072d0dda229
158,47.737976,96161,49.8206007542,1004ac05-c76b-4916-a9b4-bc902adcd809
159,53.111434,96162,41.7075529164,ec5d5a02-f6e7-427c-823a-bdbcb04e86c4
160,54.276844,96163,39.4840299671,b059f77f-8297-40b3-b2c9-b5720855b311
161,54.276844,96164,39.4840299671,b61fed26-a04b-4214-92b2-4ceeb2c4b142
162,50.664755,96165,36.4725282454,a7c4b075-9687-48e6-a88e-71aa4d6752ad
163,49.80686,96166,35.5835800738,e1cbe8ef-59bf-4cb1-ad63-080e600ff906
164,49.105498,96169,35.7032912012,645faf3c-97a4-4796-9c34-043c0dcbdc8e
165,49.105498,96170,35.7032912012,95f6040f-bcae-49b6-9eb3-d0618084349a
166,46.860393,96171,31.8839022667,617176d6-1861-4e44-bfa2-0e9163cd1e4d
167,60.677029,96172,50.8244810277,d8f4094c-8858-4794-a1f0-4f277bc5772c
168,61.266991,96173,48.4602098075,6678ccaf-e908-4274-9ab8-2e41e36ea496
169,55.323832,96174,39.3331799109,5d9aace7-7e97-4f7f-85a4-2966620d68f4
170,51.257971,96175,30.6115564899,b3ccd6d3-46ca-42eb-8f1d-7ae457b8165a
171,53.895496,96178,48.8695279467,9d385b2e-f62c-4cd4-addb-249407d2c893
172,55.993756,96179,39.6812245747,89854cd4-89a1-416d-9bba-c34fad5d97b6
173,53.895496,96183,37.3637088404,5b4b2b50-1247-4454-8aa3-58209c5603ce
174,53.895496,96185,37.3637088404,570fb1f9-011f-4697-b84a-19697abd8da9
175,57.170252,96186,40.4942643429,6ae58f1e-9809-4221-b012-d84a76d1c652
176,57.170252,96187,40.4942643429,5cee90b1-fdb1-413a-b7bf-ae17c219b2a1
177,55.993756,96188,39.6812245747,ea7410b8-72d5-4caa-b675-6f0058068afc
178,54.955816,96190,50.6082594138,7e964848-b77d-4edf-a361-64e798317275
179,57.170252,96191,40.4942643429,7faeafd0-56c3-4c86-bef7-8fc23dafcaba
180,52.386992,96192,31.4842392239,a12b5348-eb21-48a0-ba67-f5b26c672dff
181,51.257971,96193,30.6115564899,655eb56b-26eb-47ec-bd30-6ed459c2bed6
182,48.713462,96195,49.8206007542,69d6655b-e17f-4bf4-b0c4-6efe05a44667
183,68.550602,96196,60.2577844689,741e987b-7623-450e-a4ea-711c8e74d0a9
184,61.215523,96197,47.7192055064,a6e12356-2819-4ad1-a0a3-c8c9e318c6af
185,62.223784,96198,52.3448921644,563b97a8-517a-480a-8559-0406d586de72
186,55.842139,96199,31.5576900328,5a05c9b4-4b4e-44b5-808a-4f85a302b46d
187,59.598602,96200,49.4588109621,b1692670-a1d1-4503-aa89-9e2b367f6d25
188,61.215523,96201,47.7192055064,d04a2600-96b6-4e03-96b1-d28199dd96a1
189,61.215523,96202,47.7192055064,513d7f96-3483-439d-9876-9e766ce58d80
190,64.152996,96203,47.7192055064,84c654b5-4278-4511-846b-b3fab5e6eb65
191,70.901113,96204,42.6866361052,4ea2c1e2-7bc4-46e5-be19-b106bb9f9341
192,48.713462,96205,49.8206007542,d1a55b4b-3ba3-476f-ac7e-e2a160b62e5a
