,Unnamed: 0,ID,Segment ID,Roadway Name,From,To,Direction,Date,sum,Full Name,Boroughs
53,53,249,192425,Provost Avenue,East 233 Street,Westchester,SB,09/13/2014,4402.0,Provost Avenue from East 233 Street to Westchester,The Bronx
54,54,249,192425,Provost Avenue,East 233 Street,Westchester,NB,09/13/2014,5440.0,Provost Avenue from East 233 Street to Westchester,The Bronx
55,55,262,73436,Riverdale Avenue,West 238 Street,West 239 Street,NB,09/13/2014,4535.0,Riverdale Avenue from West 238 Street to West 239 Street,West Bronx
56,56,262,73436,Riverdale Avenue,West 239 Street,West 238 Street,SB,09/13/2014,6311.0,Riverdale Avenue from West 239 Street to West 238 Street,West Bronx
57,57,268,69696,River Avenue,East 150 Street,East 151 Street,NB,09/13/2014,5138.0,River Avenue from East 150 Street to East 151 Street,West Bronx
58,58,268,69696,River Avenue,East 151 Street,East 150 Street,SB,09/13/2014,3659.0,River Avenue from East 151 Street to East 150 Street,West Bronx
59,59,276,113134,Sedgwick Avenue,West Fordham Road,West 183 Street,SB,09/13/2014,5940.0,Sedgwick Avenue from West Fordham Road to West 183 Street,University Heights
60,60,276,113134,Sedgwick Avenue,West 183 Street,West Fordham Road,NB,09/13/2014,5117.0,Sedgwick Avenue from West 183 Street to West Fordham Road,West Bronx
61,61,286,134461,Southern Boulevard,East Fordham Road,East Fordham Road,SB,09/13/2014,12038.0,Southern Boulevard from East Fordham Road to East Fordham Road,Fordham Manor
62,62,286,146666,Southern Boulevard,East Fordham Road,East Fordham Road,NB,09/13/2014,8211.0,Southern Boulevard from East Fordham Road to East Fordham Road,Fordham Manor
63,63,65,144331,BQE,59 Place,59 Street,WB,11/18/2014,56127.0,BQE from 59 Place to 59 Street,Manhattan
64,64,288,9001819,St. Anns Avenue,East 156 Street,Rae Street,SB,09/13/2014,2169.0,St. Anns Avenue from East 156 Street to Rae Street,N/A
65,65,288,9001819,St. Anns Avenue,Rae Street,East 156 Street,NB,09/13/2014,3798.0,St. Anns Avenue from Rae Street to East 156 Street,N/A
66,66,290,145927,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,WB,09/13/2014,16347.0,Southern Boulevard from Mosholu Parkway to Bronx River Parkway,The Bronx
67,67,290,145928,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,EB,09/13/2014,15895.0,Southern Boulevard from Mosholu Parkway to Bronx River Parkway,The Bronx
68,68,308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,09/13/2014,24068.0,University Heights Bridge Approach from Harlem River Shoreline to 9 Avenue,Manhattan
69,69,308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,EB,09/13/2014,19493.0,University Heights Bridge Approach from Harlem River Shoreline to 9 Avenue,Manhattan
70,70,349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/13/2014,8914.0,White Plains Road from East 215 Street to East 216 Street,East Bronx
71,71,349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/13/2014,5757.0,White Plains Road from East 215 Street to East 216 Street,East Bronx
72,72,2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/14/2014,7195.0,3 Avenue from East 154 Street to East 155 Street,West Bronx
