Source,Address,County,Sector,Sub Sector,Total Emissions (MT CO2e),Biogenic CO2 (MT CO2),Fossil CO2 (MT CO2),Methane (MT CO2e),Nitrous Oxide (MT CO2e),Hydrofluorocarbons (MT CO2e),Perfluorocarbons (MT CO2e),Sulfur Hexafluoride (MT CO2e),Other (MT CO2e),Location,Point Size- Based on Total Emissions,Sector Number
The Boeing Company - Auburn Site - Auburn,"700 15th Street SW Auburn, WA 98001",King,Manufacturing,Transportation,38096,0,38057,18,21,0,0,0,0,"(47.285551, -122.242298)",2,4
Alcoa Wenatchee Works - Malaga,"6200 Malaga/Alcoa Hwy. Malaga, WA 98828",Chelan,Metals,Aluminum Production,0,0,0,0,0,0,0,0,0,"(47.3567, -120.1273)",1,5
Naval Air Station Whidbey Island - Oak Harbor,"1115 W. Lexington Street, Bldg. 103 Oak Harbor, WA 98278",Island,Government,National Security,15639,0,15622,8,10,0,0,0,0,"(48.345281, -122.669741)",1,3
Easterday Ranches North Feedlot - Eltopia,"8230 Blanton Rd. Eltopia, WA 99330",Franklin,Food Production,Cattle Feedlots,13991,0,1067,1002,11923,0,0,0,0,"(46.50919, -118.881203)",1,2
Puget Sound Energy LDC - statewide,"10885 NE 4th St Bellevue, WA 98004",King,Petroleum and Natural Gas Systems,Natural Gas Local Distribution Companies,60615,0,103,60512,0,0,0,0,0,"(47.61345, -122.19454)",2,7
Sierra Pacific Industries - Burlington Division - Mount Vernon,"14353 McFarland Road Mount Vernon, WA 98273",Skagit,Wood Products,Lumber Mills,290046,282314,3958,544,3231,0,0,0,0,"(48.448553, -122.434613)",3,12
"Vaagen Bros. Lumber, Inc. - Colville","565 West 5th Avenue Colville, WA 99114",Stevens,Wood Products,Lumber Mills,49235,48586,0,93,556,0,0,0,0,"(48.548525, -117.915469)",2,12
Georgia-Pacific Gypsum LLC - Tacoma,"1240 Alexander Ave Tacoma, WA 98421",Pierce,Manufacturing,Gypsum Manufacturing,46857,0,46808,22,26,0,0,0,0,"(47.269558, -122.394869)",2,4
"Interfor US, Inc. - Port Angeles","243701 Highway 101 West Port Angeles, WA 98363",Clallam,Wood Products,Lumber Mills,40810,40272,0,77,461,0,0,0,0,"(48.103425, -123.518642)",2,12
BP Cherry Point Refinery - Blaine,"4519 Grandview Road Blaine, WA 98230",Whatcom,Refineries,Petroleum Refineries,2131918,0,2116523,10258,5138,0,0,0,0,"(48.8864, -122.7353)",4,10
Weyerhaeuser Raymond Lumber - Raymond,"51 Ellis Street Raymond, WA 98577",Pacific,Wood Products,Lumber Mills,48561,47921,0,92,548,0,0,0,0,"(46.688088, -123.737495)",2,12
Northwest Pipeline Roosevelt C/S - Bickleton,"652 Sixprong Road Bickleton, WA 99322",Klickitat,Petroleum and Natural Gas Systems,Natural Gas Transmission/Compression,12488,0,8335,4148,5,0,0,0,0,"(45.849504, -120.08083)",1,7
Grant County Landfill 1 - Ephrata,"3803 Neva Lake Rd. NW Ephrata, WA 98823",Grant,Waste,Municipal Landfills,44881,0,0,44881,0,0,0,0,0,"(47.270759, -119.573764)",2,11
"Rainier Veneer, Inc. - Spanaway","8220 Eustis Hunt Rd Spanaway, WA 98387",Pierce,Wood Products,Engineered Wood,18569,16721,1624,33,192,0,0,0,0,"(47.062059, -122.318981)",1,12
Bonneville Power Administration - WA Only - statewide,"5411 NE HWY 99 Vancouver, WA 98663",Clark,Power Plants,Use of Electrical Equipment,15069,0,0,0,0,0,0,15069,0,"(45.661178, -122.658608)",1,8
"Solvay Chemicals, Inc. - Longview","3500 Industrial Way Longview, WA 98632",Cowlitz,Chemicals,Hydrogen Production,40706,0,40706,0,0,0,0,0,0,"(46.137218, -122.982847)",2,1
Darigold - Chehalis,"67 SW Chehalis Ave Chehalis, WA 98532",Lewis,Food Production,Dairy Products,11337,0,11325,6,7,0,0,0,0,"(46.659952, -122.970162)",1,2
Boeing Commercial Airplanes - Everett,"3003 West Casino Rd Everett, WA 98204",Snohomish,Manufacturing,Transportation,80529,0,80446,38,45,0,0,0,0,"(47.918622, -122.276987)",2,4
University of Washington Seattle Campus - Seattle,"47.6562, -122.3041 Seattle, WA 98195-2160",King,Government,Education,94113,0,94016,44,53,0,0,0,0,"(47.653614, -122.303608)",2,3
Frito Lay - Vancouver,"4808 NW Fruit Valley Road Vancouver, WA 98660",Clark,Food Production,Other Food Products,17206,0,17189,8,10,0,0,0,0,"(45.657037, -122.692)",1,2
Owens-Brockway Glass Container Inc Plant #02 - Kalama,"2310 N Hendrickson Drive Kalama, WA 98625",Cowlitz,Minerals,Glass Production,23955,0,23938,8,9,0,0,0,0,"(46.031656, -122.866241)",1,6
Northwest Hardwoods Inc. - Mount Vernon,"13421 Farm to Market Road Mount Vernon, WA 98273",Skagit,Wood Products,Lumber Mills,10531,7441,2987,16,87,0,0,0,0,"(48.451642, -122.443028)",1,12
Puget Sound Energy - Encogen Generating Station - Bellingham,"915 Cornwall Ave Bellingham, WA 98225",Whatcom,Power Plants,Natural Gas Turbine Plants,98352,0,98252,46,54,0,0,0,0,"(48.746, -122.486)",2,8
